"likesCount","timestamp","commentsCount","videoViewCount","videoDuration"
"699251","2023-11-29T16:31:09.000Z","1489","7951694","13.481"
"348654","2023-12-04T17:55:13.000Z","1063","3175143","15.782"
"405155","2023-12-19T18:52:58.000Z","853","4059328","24.401"
"412694","2023-12-14T22:56:07.000Z","887","4484755","22.724"
"2098501","2020-03-13T16:20:24.000Z","13789","17265178","14.133"
"942140","2023-12-28T19:11:55.000Z","1262","9356334","12.345"
"2935545","2021-06-15T15:12:23.000Z","31385","26889273","14.333"
"253092","2023-11-17T18:52:48.000Z","1000","3153373","12.412"
"741486","2023-11-23T15:47:59.000Z","768","10397063","12.4"
"2117049","2019-07-23T13:26:51.000Z","15010","15493665","27.8"
"306493","2023-12-21T14:55:53.000Z","1367","2468181","32.267"
"2191214","2023-12-31T20:07:54.000Z","3144","18228430","30.364"
"243901","2023-10-10T14:12:59.000Z","587","2807471","22.94"
"309528","2023-10-12T16:25:06.000Z","2307","4011335","19.634"
"1219200","2023-11-09T16:23:04.000Z","1436","11434304","19.3"
"384120","2023-09-30T15:34:47.000Z","1617","3455410","15.928"
"291079","2023-10-09T14:10:02.000Z","806","2666425","33.273"
"9008903","2023-11-10T15:11:32.000Z","20128","102090154","16.517"
"225759","2023-09-22T16:18:34.000Z","496","2665941","21.9"
"350361","2023-10-20T17:05:15.000Z","1286","4807717","15.782"
"2581381","2023-10-25T17:50:21.000Z","4153","49311517","12.279"
"743742","2023-08-27T16:40:54.000Z","1016","4568650","13.066"
"503632","2023-09-19T14:09:19.000Z","1059","5335253","16.733"
"479999","2023-09-17T18:03:00.000Z","1075","5207472","14.966"
"6395517","2023-08-23T17:40:35.000Z","6302","70513827","14.5"
"5814431","2023-08-09T22:47:25.000Z","9486","70240280","20.666"
"154246","2023-09-03T23:50:59.000Z","437",,
"764251","2023-09-01T20:33:29.000Z","1221","8413746","14.466"
"676682","2023-10-28T15:26:30.000Z","1558","7976544","22.724"
"1814351","2023-08-16T14:52:56.000Z","1120","17445999","8.1"
"2002963","2023-08-06T15:04:36.000Z","3507","16324517","26.166"
"485096","2023-07-28T13:41:49.000Z","931","3239412","9.033"
"2443175","2023-08-20T14:25:56.000Z","13255","27533617","13.266"
"1054853","2023-07-26T15:17:40.000Z","767","8603039","12.9"
"225897","2023-08-02T13:48:31.000Z","588","3173491","15.8"
"1435387","2023-06-10T16:32:05.000Z","2596","16615578","16.95"
"590589","2023-06-22T14:45:38.000Z","1061","4033546","18.866"
"286978","2023-06-06T18:07:35.000Z","483","3005967","15.51"
"2163185","2023-06-29T21:36:44.000Z","7904","12090891","12.333"
"608659","2023-06-02T16:16:19.000Z","1122","6352219","16.601"
"483276","2023-05-26T19:15:20.000Z","1191","5178814","24.633"
"1108693","2023-07-08T14:52:32.000Z","833","6789033","10.959"
"295651","2023-07-17T16:49:46.000Z","474","3243697","19.7"
"927558","2023-06-16T13:26:30.000Z","1940","8680507","13.211"
"784702","2023-05-30T14:36:10.000Z","2902","6385025","19.852"
"647665","2023-07-05T21:22:03.000Z","1477","6267998","15.766"
"1708228","2023-06-21T16:25:42.000Z","1204","18319269","12.666"
"4425342","2023-04-14T15:04:39.000Z","4537","38546449","15.966"
"225182","2023-04-28T16:41:05.000Z","423","2213786","30.466"
"403902","2023-10-06T16:09:23.000Z","704","3785720","15.742"
"289018","2023-05-22T14:27:06.000Z","684","2515867","19.033"
"431918","2023-05-02T12:45:00.000Z","1266","4378226","15.733"
"357738","2023-05-17T14:56:01.000Z","1471","4198677","23.166"
"760373","2023-05-03T15:15:52.000Z","1324","7060148","30"
"743473","2023-05-14T14:41:25.000Z","1268","5774712","16.9"
"3263696","2023-05-08T13:34:30.000Z","8152","24823903","14.233"
"1614145","2023-03-28T16:22:27.000Z","1781","22420773","13.8"
"4785881","2023-04-27T14:57:02.000Z","9798","68633876","19.833"
"787797","2023-04-05T14:10:18.000Z","1521","8045495","20.9"
"471001","2023-04-20T13:46:35.000Z","1631","5973117","16.966"
"731253","2023-03-09T15:02:59.000Z","655","6461188","17.9"
"435080","2023-03-18T14:35:18.000Z","886","5128246","18.9"
"1511136","2023-02-13T15:52:27.000Z","3769","11355576","36.4"
"593177","2023-03-02T14:59:00.000Z","1267","8080582","17.266"
"977823","2023-02-05T15:43:56.000Z","3546","17375481","15.966"
"437941","2023-02-14T14:31:31.000Z","489","3409445","15.633"
"1064958","2023-02-02T15:19:09.000Z","504","13152278","10.266"
"1512198","2023-03-23T21:19:30.000Z","2028","8997102","18.3"
"385626","2023-02-11T15:05:30.000Z","1170","5175720","9.8"
"336554","2023-01-28T16:28:30.000Z","446","3877963","23.1"
"679688","2023-03-10T15:52:35.000Z","1670","7799217","21.466"
"806421","2022-12-10T15:23:27.000Z","1478","10063106","16.394"
"751941","2022-12-15T15:33:12.000Z","1751","9341697","10.5"
"391589","2023-02-18T15:44:02.000Z","618","8366720","11.833"
"351570","2022-12-09T15:25:09.000Z","899","3705597","40.066"
"373148","2022-12-20T16:00:00.000Z","623","3963177","19.833"
"444751","2022-12-07T15:01:00.000Z","1298","2971453","53"
"401453","2022-12-14T14:39:07.000Z","835","6143435","5.466"
"2911487","2022-11-22T15:02:35.000Z","5198","53967941","8.333"
"290194","2023-01-05T17:39:52.000Z","624","3236177","18.933"
"344107","2023-01-09T14:57:24.000Z","829","2839370","16.833"
"456774","2023-01-21T16:00:26.000Z","981","5263613","14.066"
"3028778","2022-10-28T15:21:40.000Z","3321","38695679","10.666"
"343532","2022-11-05T14:42:47.000Z","534","4546100","10.033"
"631468","2022-10-17T15:30:10.000Z","1635","6726745","11.333"
"649578","2022-09-10T15:22:51.000Z","1074","7074303","8.966"
"851199","2022-07-31T14:23:43.000Z","1784","16437632","14"
"578647","2022-10-04T16:53:06.000Z","1719","6173561","17.233"
"291563","2022-09-17T14:44:56.000Z","881","2738762","28.833"
"254350","2022-09-20T15:23:23.000Z","1283","2679094","9.4"
"375083","2022-08-31T16:51:10.000Z","1002","4187654","11.8"
"342907","2022-09-27T14:34:56.000Z","1396","4490512","13.333"
"342664","2022-12-16T14:48:42.000Z","796","3393697","29.233"
"380976","2022-11-18T20:53:41.000Z","673","6573536","17.8"
"540073","2022-06-07T14:20:10.000Z","876","5907911","13.833"
"1295345","2022-05-13T14:24:22.000Z","2419","9976909","9.633"
"418864","2022-07-21T14:30:55.000Z","677","3829848","9.833"
"857157","2022-05-28T15:04:05.000Z","1248","7979900","16.666"
"1483847","2022-06-24T14:03:52.000Z","4901","10334083","20.966"
"681770","2022-04-21T13:02:03.000Z","2188","5526845","11.933"
"768259","2022-06-22T14:30:29.000Z","2917","6383940","15.6"
"387064","2022-04-13T15:18:02.000Z","766","4084774","10.833"
"737258","2022-04-27T18:11:11.000Z","1555","4709828","18.833"
"516885","2022-10-13T15:03:40.000Z","1215","5085366","16.966"
"801715","2022-06-03T12:58:48.000Z","1738","8327316","8.933"
"667104","2023-01-14T16:03:10.000Z","1820","8864624","12"
"699029","2022-02-18T16:48:30.000Z","1111","9177799","13.733"
"669281","2022-02-23T16:16:16.000Z","2327","5019922","16.7"
"1467511","2022-02-14T15:19:46.000Z","4249","5841974","19.066"
"1519115","2022-04-06T15:23:46.000Z","2493","17993045","13.133"
"1569986","2022-02-11T17:38:47.000Z","3106","13607569","26.266"
"775200","2022-03-17T14:46:29.000Z","1582","9166857","7.666"
"631781","2022-03-11T15:53:19.000Z","588","7419198","6.266"
"714672","2022-07-16T13:31:23.000Z","881","9478006","15.433"
"367401","2022-02-05T16:48:29.000Z","937","3013200","30.833"
"540420","2022-01-29T16:05:10.000Z","596","4972281","18.533"
"432667","2022-04-01T14:47:14.000Z","901","3958644","13.6"
"1074525","2022-01-12T14:47:59.000Z","2120","8669081","16.4"
"1216603","2022-01-16T16:23:11.000Z","1994","9724759","10.3"
"611751","2021-12-07T18:51:53.000Z","957","5389373","14.833"
"603361","2021-10-31T15:47:58.000Z","1050","5487619","11.933"
"618000","2021-11-24T23:35:51.000Z","1281","4801062","20.266"
"1233673","2021-11-12T15:09:16.000Z","3503","8748265","26.366"
"441384","2021-11-23T15:06:21.000Z","659","3686727","25.7"
"665243","2021-12-14T16:34:10.000Z","1091","5301972","18.533"
"901420","2021-12-11T16:49:02.000Z","1537","6850046","13.866"
"632660","2021-12-17T17:12:20.000Z","1079","5544861","11.9"
"779752","2021-11-10T14:48:31.000Z","1363","7883169","13.233"
